S.No.,Property_Name,Price_in_INR,No_of_Bedroom,Property_type,No_of_Bathroom,Carpet_Area(Sq Ft),Garden,Property Status,Parking,Council_Tax
0,"Beaumont Avenue, Fulham",98059250,3,Flat,2,0,Ask agent,"TENURE
Share of Freehold",Ask agent,Ask agent
1,"One Hyde Park, Knightsbridge",2147483648,5,Apartment,5,0,Terrace,"TENURE
Leasehold",Garage,Ask agent
2,"Buckingham Gate, Westminster, SW1E",2147483648,8,Terraced,9,0,Communal garden,-,Garage,Ask agent
3,"Buckingham Gate, SW1",2147483648,9,Terraced,9,15000,Ask agent,-,Yes,Band: H
5,"Wilton Crescent, London, SW1X",2147483648,8,Terraced,8,9000,Ask agent,-,Yes,Band: H
6,"Addison Road, London, W14",2147483648,8,Detached,6,9000,Yes,-,Yes,Band: H
7,"Brick Street, Mayfair, London, W1J",2147483648,7,House,7,0,Yes,-,Yes,Band: H
8,"Chester Square, London, SW1W",2147483648,6,Terraced,5,0,Yes,-,Yes,Band: H
9,"Addison Road, Holland Park, W14",2147483648,8,Detached,6,0,Yes,-,Yes,Band: H
10,"Royal Westminster, London",2147483648,7,Detached,5,11000,Ask agent,-,Ask agent,Ask agent
11,"Brick Street, Mayfair, London, W1J",2147483648,7,Terraced,5,12000,Ask agent,-,Yes,Band: H
12,"Chester Square, London, SW1W",2147483648,6,Terraced,5,8000,Yes,-,Yes,Band: H
13,"Merton Lane, London, N6",2147483648,6,Detached,7,18000,Yes,-,Yes,Band: TBC
14,"Merton Lane, London, N6",2147483648,6,Detached,7,0,Yes,-,Yes,Band: TBC
15,"Merton Lane, London, N6",2147483648,10,Detached,9,18000,Yes,-,Yes,Band: H
16,"Merton Lane, Highgate, London, N6",2147483648,5,House,13807,0,Yes,-,Ask agent,Band: TBC
17,"FREEHOLD House in Park Street, Mayfair, W1K",2147483648,11,Terraced,11,0,Ask agent,-,Ask agent,Band: H
18,"Avenue Road, NW8",2147483648,8,Detached,3,5000,Yes,-,Yes,Band: H
19,"Princes Gate, Knightsbridge, London, SW7",2147483648,12,Detached,10,0,Ask agent,-,Ask agent,Band: H
20,"Cadogan Place, Belgravia, London, SW1X",2147483648,6,Terraced,7,7000,Ask agent,-,Ask agent,Band: I
21,"Cambridge Park, Twickenham, Richmond, TW1.",2147483648,9,Detached,10,18000,Yes,-,Yes,Band: H
22,"Cambridge Park, Twickenham, Greater London, TW1",2147483648,9,Detached,12,18000,Yes,-,Yes,Ask agent
23,"Piccadilly, Mayfair",2147483648,6,House,6,15000,Ask agent,-,Yes,Ask agent
24,"Princes Gate, London, SW7",2147483648,7,Terraced,6,9000,Terrace,-,Ask agent,Ask agent
25,"Blundell Street, Caledonian Road, London, N7",58305500,3,Maisonette,1,979000,Yes,"TENURE
Leasehold",Yes,Band: D
26,"Princes Gate, London, SW7",2147483648,6,House,7,9000,Ask agent,-,Ask agent,Ask agent
27,"Eaton Terrace, Belgravia, London, SW1W",2147483648,4,Terraced,6,7000,Yes,-,Yes,Band: H
28,"Holland Villas Road, London, W14",2147483648,12,Detached,8,10000,Yes,-,Yes,Band: H
29,"Eaton Terrace, London, SW1W",2147483648,5,Mews,6,7000,Yes,-,Yes,Ask agent
30,"Abbotsbury Road, London, W14",2147483648,7,Detached,7,8000,Yes,-,Garage,Band: H
31,"Holland Villas Road, London, W14",2147483648,9,Detached,8,10000,Yes,-,Yes,Ask agent
32,"Marylebone High Street, London, W1U",2147483648,3,Penthouse,3,3000,Yes,"TENURE
Leasehold",Ask agent,Ask agent
33,"Moxon Street, W1U",2147483648,3,Block of Apartments,3,3000,Terrace,"TENURE
Leasehold",Yes,Ask agent
34,"Marylebone Square, Marylebone W1",2147483648,3,Flat,3,3000,Ask agent,-,Yes,Ask agent
35,"Down Street Mews, Mayfair, London, W1J",2147483648,9,Semi-Detached,8,12000,Ask agent,-,Yes,Band: TBC
36,"Down Street Mews, London, W1J",2147483648,8,Mews,14,12000,Ask agent,-,Yes,Band: H
